physician_id,specialty_description,state,total_patients,total_prescriptions,total_drug_cost_usd,unique_drugs_prescribed
1786579303,Orthopedics,AK,240,685,48587.52,21
1826600539,Family Medicine,OH,344,1398,76564.83,35
1334760738,Emergency Medicine,NC,608,1272,101538.22,49
1550455977,Emergency Medicine,NH,601,1787,322365.95,25
1849621470,Ophthalmology,MI,242,615,149276.63,36
1209747451,Neurology,MO,149,485,131136.48,31
1966647391,Dermatology,WA,335,1298,318567.72,39
1184611066,Gastroenterology,ME,285,1145,178260.21,17
1810026086,Emergency Medicine,WY,448,2440,435046.29,21
1508157429,Internal Medicine,NJ,625,3074,228699.8,52
1324956459,Rheumatology,LA,136,561,117753.07,30
1275452091,Otolaryngology,MO,238,1300,189799.95,50
1335809993,Rheumatology,MA,128,358,57722.16,35
1530747414,Internal Medicine,CA,408,2119,286228.18,75
1437882805,Radiology,TN,355,1201,224805.75,19
1253407200,Internal Medicine,FL,426,1962,256721.02,77
1727694430,Ophthalmology,PA,304,993,247798.56,23
1647099690,Urology,CO,124,621,45287.17,25
1950488739,Rheumatology,NV,132,441,158125.38,44
1668132202,Internal Medicine,OK,740,3920,596006.65,37
1831980933,Cardiothoracic Surgery,OH,118,553,55867.56,33
1566825638,Psychiatry,NJ,101,539,97762.71,31
1637500247,Physical Medicine,ID,359,1864,336596.99,34
1786066793,Oncology,RI,201,509,212191.3,49
1936043811,Oral Surgery,ND,100,409,50425.96,22
1489747629,Cardiothoracic Surgery,MD,111,244,44335.15,20
1191969690,Family Medicine,NY,717,1607,263693.15,79
1235034324,Pediatrics,TX,343,1822,136229.2,48
1751325257,Ophthalmology,IN,376,1745,344249.23,34
1528414718,Rheumatology,TN,291,1028,340423.79,22
1366186631,Emergency Medicine,CA,473,980,130426.46,29
1107721109,Neurology,VA,130,364,169950.51,36
1176082500,Oncology,KS,242,1050,236232.03,23
1876693898,Oral Surgery,OR,395,1443,241980.87,41
1304451095,Orthopedics,CT,320,1036,115685.29,18
1823019672,Nephrology,TN,150,331,52705.8,21
1366992705,Radiology,IL,374,1335,151231.8,13
1596743109,Emergency Medicine,CA,526,2539,452944.99,21
1154318806,Nephrology,OH,107,576,108838.11,30
1278575192,Ophthalmology,NY,346,950,140768.01,18
1276777762,Pathology,AL,299,875,146659.27,19
1406284028,Ophthalmology,VT,384,1657,269650.47,27
1418587604,Radiology,AR,396,1811,107109.12,15
1161380746,Dermatology,PA,344,1293,290876.36,25
1161073976,Oncology,CO,195,436,75770.83,30
1533550699,Orthopedics,OR,226,909,50868.78,20
1550139320,Rheumatology,PA,389,1489,710472.17,28
1819112790,Infectious Disease,MA,222,650,45260.63,34
1590941149,Obstetrics and Gynecology,WI,137,278,39802.34,21
1178663096,Gastroenterology,IN,359,1051,199678.34,19
1362298393,Anesthesiology,ME,180,636,83622.99,14
1756783995,Plastic Surgery,TN,370,750,129424.22,34
1812308209,Orthopedics,FL,235,564,37255.24,50
1266910922,Internal Medicine,ME,609,1666,168985.78,73
1781007818,Neurosurgery,KY,179,664,123371.51,18
1199104722,Nephrology,NV,241,519,51917.38,23
1784095277,Internal Medicine,HI,679,2408,375287.08,65
1110382761,Orthopedics,CA,176,688,120530.21,50
1259014493,Ophthalmology,FL,121,372,86611.59,17
1484194737,Radiology,UT,227,983,101299.91,22
1536344399,Endocrinology,WV,179,937,80123.43,25
1958872154,Plastic Surgery,ID,311,648,103994.07,36
1940081098,Oral Surgery,NE,227,665,111790.61,21
1510751046,Neurosurgery,AZ,170,472,81414.33,44
1475442872,Surgery,IA,107,222,17531.22,36
1399147754,Neurosurgery,CA,121,390,49300.23,49
1455569462,Cardiology,DE,233,611,118766.27,31
1141078352,Orthopedics,RI,322,1033,173507.05,42
1750911797,Oncology,DE,297,1529,331070.66,17
1861052404,Ophthalmology,AL,366,1917,328836.12,27
1491079829,Ophthalmology,CA,269,1124,216680.08,22
1872830248,Cardiothoracic Surgery,MD,179,551,61303.67,40
1848621833,Surgery,OK,82,219,32792.93,39
1827264603,Family Medicine,ID,615,2454,272176.27,30
1426283245,Surgery,IN,160,760,107159.42,35
1599277266,Otolaryngology,NH,209,791,133726.71,25
1807435606,Neurology,ME,363,1569,575417.07,20
1978775497,Physical Medicine,KS,258,718,57346.29,16
1149621604,Emergency Medicine,NM,612,3044,185453.37,41
1776205431,Pulmonology,IL,296,1104,95603.82,15
1906341966,Neurosurgery,WY,77,363,30065.9,48
1598806645,Dermatology,OK,227,1182,118945.8,23
1960514523,Otolaryngology,TX,371,2024,281979.32,43
1757830420,Vascular Surgery,WA,358,1250,232535.26,43
1270894498,Family Medicine,NM,530,1540,134112.38,70
1397760792,Physical Medicine,WY,366,1352,116119.06,43
1183197117,Infectious Disease,ME,220,649,63573.73,49
1186519602,Pediatrics,GA,218,728,53086.34,28
1168965204,Ophthalmology,NE,269,1048,157914.34,28
1994310083,Ophthalmology,MO,399,2119,176556.0,39
1612153089,Cardiology,MN,252,1168,207924.08,41
1677909930,Family Medicine,WV,579,2778,513017.99,61
1335602191,Internal Medicine,NV,548,1151,115582.77,73
1956998797,Pathology,WA,184,909,170829.5,24
1673510887,Cardiology,MT,388,1676,104904.39,42
1245706210,Neurosurgery,NJ,96,208,22228.04,28
1588229686,Obstetrics and Gynecology,MI,294,874,168402.86,41
1370874491,Vascular Surgery,CO,340,703,92031.74,37
1340756713,Nephrology,CA,120,556,106997.62,27
1121882877,Endocrinology,GA,222,542,81527.0,28
1599326438,Infectious Disease,KY,288,745,105109.91,22
1935147672,Vascular Surgery,HI,259,615,33118.83,34
1718257024,Rheumatology,MO,303,1604,351942.34,30
1209415691,Infectious Disease,WY,254,1263,176897.98,22
1954942461,Pulmonology,AZ,277,1070,159674.18,19
1643271261,Nephrology,MI,106,527,91355.26,21
1565492204,Anesthesiology,SD,335,1499,172869.28,21
1798423334,Internal Medicine,SC,713,3720,618249.93,59
1567694547,Vascular Surgery,WA,237,741,64336.79,20
1399496923,Cardiothoracic Surgery,NH,112,518,70177.32,39
1461203124,Cardiology,NY,266,701,57354.4,31
1465436049,Internal Medicine,RI,659,3347,446384.89,63
1305145276,Neurology,KS,308,1142,474338.41,45
1793532952,Infectious Disease,NY,329,1571,100478.02,29
1534222401,Infectious Disease,KS,256,1106,116520.49,50
1670073085,Anesthesiology,NV,381,1203,186980.17,13
1429233929,Internal Medicine,IA,361,1633,158943.47,77
1675379544,Physical Medicine,VT,194,518,83289.58,32
1878017216,Pulmonology,WI,368,1504,296403.2,27
1418092217,Emergency Medicine,MS,391,1195,186662.31,23
1394539550,Dermatology,AR,383,1157,278252.99,46
1210152642,Neurosurgery,AL,196,587,71500.79,36
1297958983,Dermatology,KY,344,825,75164.42,46
1179545125,Pulmonology,SD,127,321,55106.49,34
1191462297,Emergency Medicine,DE,585,2735,385491.82,29
1932894596,Oncology,MO,330,1709,434211.78,42
1427899537,Pulmonology,SC,130,537,86464.19,28
1771641650,Radiology,KY,141,359,27309.86,7
1268075622,Cardiology,NE,330,1456,175428.89,17
1348545713,Surgery,VA,122,544,64248.96,29
1384063364,Plastic Surgery,SD,201,701,92310.73,24
1385220694,Vascular Surgery,GA,136,300,50668.29,33
1571537429,Orthopedics,NJ,255,1134,217049.23,47
1679800791,Urology,NH,141,577,105829.55,35
1748232591,Internal Medicine,AK,346,969,146459.27,66
1730418447,Cardiology,WI,237,951,156407.5,26
1605196410,Oncology,TN,326,1697,362345.48,42
1781594897,Vascular Surgery,NY,146,532,59186.18,35
1819550381,Orthopedics,HI,268,922,114623.37,40
1973559879,Physical Medicine,OK,118,423,41106.11,35
1224469868,Physical Medicine,MT,363,1774,89006.3,49
1596043327,Ophthalmology,AR,196,747,138828.28,46
1771527524,Otolaryngology,WI,126,341,45142.58,33
1570423569,Cardiothoracic Surgery,VT,174,421,82504.22,30
1862123506,Psychiatry,MD,382,782,86957.31,29
1221827951,Otolaryngology,DE,178,666,104888.67,47
1857429971,Internal Medicine,NE,727,2681,323953.19,59
1691916368,Pediatrics,MO,197,1029,129896.98,23
1174958005,Internal Medicine,WY,704,3513,354747.26,80
1645179180,Internal Medicine,AL,444,2016,354052.72,67
1808605988,Urology,GA,328,1274,129653.19,50
1919128302,Gastroenterology,MO,333,1753,316311.76,30
1713963047,Pathology,IA,310,667,107857.75,17
1514548900,Rheumatology,TN,177,660,107551.53,47
1733701411,Obstetrics and Gynecology,CT,325,763,142350.05,15
1875718152,Pediatrics,NE,179,404,67560.43,31
1463527356,Endocrinology,VT,303,1295,230205.41,49
1508031980,Obstetrics and Gynecology,SD,349,1763,97643.52,19
1352082631,Nephrology,UT,247,1356,219692.28,42
1205702499,Physical Medicine,SD,151,536,82597.69,16
1149382425,Obstetrics and Gynecology,AR,250,813,93172.25,30
1670335494,Ophthalmology,OR,192,498,46525.46,39
1765408938,Rheumatology,KS,354,1838,367767.63,44
1784944881,Internal Medicine,NJ,430,1863,344349.99,59
1408842146,Rheumatology,OH,180,406,195217.98,34
1786055206,Ophthalmology,VT,228,820,107715.76,39
1618840705,Orthopedics,KS,295,1180,160741.71,33
1123557463,Vascular Surgery,TX,302,894,120591.08,18
1751124015,Family Medicine,NY,726,3749,348391.28,44
1751831074,Plastic Surgery,MN,212,896,128247.77,23
1774576271,Orthopedics,SD,120,369,42849.56,38
1886365312,Pediatrics,CO,251,789,88624.79,27
1241905500,Plastic Surgery,OH,287,1107,207034.51,25
1375919523,Oral Surgery,NM,251,1157,116634.03,22
1602866993,Neurology,GA,215,1077,434543.49,40
1963919401,Gastroenterology,MS,146,696,36253.11,49
1232702394,Otolaryngology,MS,234,946,164001.02,38
1216335741,Rheumatology,IA,341,711,326691.84,50
1452194058,Oral Surgery,SC,213,908,131942.01,44
1852775879,Surgery,TN,154,370,21016.75,17
1426808977,Urology,DE,149,420,54865.44,39
1587096273,Anesthesiology,TX,376,1303,210226.48,9
1545478870,Nephrology,CT,350,1454,277507.47,32
1135128844,Infectious Disease,MS,211,749,144244.87,38
1206681214,Rheumatology,MS,378,1948,731842.92,18
1527499187,Internal Medicine,IL,795,1929,341828.4,59
1198433586,Rheumatology,IN,110,239,63748.04,23
1945011302,Pulmonology,IN,135,662,88132.83,28
1973008988,Neurosurgery,IA,134,631,106195.13,15
1397721596,Neurosurgery,GA,83,322,54668.22,22
1809805235,Neurosurgery,AK,83,170,28644.61,30
1732276010,Obstetrics and Gynecology,AK,189,553,38164.62,41
1664880035,Orthopedics,WV,132,484,80684.04,47
1737444033,Orthopedics,NH,357,990,140843.37,48
1423873102,Otolaryngology,TN,115,254,30949.21,40
1557707813,Rheumatology,CT,351,1577,481374.23,20
1445864933,Endocrinology,GA,133,324,46541.83,50
1864668242,Obstetrics and Gynecology,MO,371,1124,141435.91,42
1206492059,Plastic Surgery,VT,158,787,116190.71,50
1873995963,Neurosurgery,IN,160,572,48204.75,36
1988434627,Otolaryngology,MT,312,1420,137572.8,35
1814154134,Internal Medicine,MS,788,1996,376141.72,34
1197951867,Vascular Surgery,CO,147,516,83431.19,38
1971630639,Pediatrics,OK,130,526,70609.17,36
1819421270,Orthopedics,NE,281,1421,271651.83,42
1874233009,Dermatology,ME,259,836,149013.78,28
1266140258,Rheumatology,NM,214,1062,289437.37,50
1494665673,Orthopedics,WI,242,970,165950.71,50
1924024405,Vascular Surgery,SC,385,805,152436.93,32
1131088245,Psychiatry,LA,258,1348,138376.94,26
1253815116,Pulmonology,TX,305,684,110223.43,16
1198524063,Family Medicine,ND,410,1359,160425.69,40
1497341481,Surgery,WA,133,627,84732.17,20
1156488296,Pediatrics,HI,125,544,49403.59,42
1621475287,Endocrinology,NH,312,922,150508.64,22
1470626529,Ophthalmology,DE,245,1071,193671.95,48
1816328133,Surgery,AZ,106,358,50083.75,15
1319497661,Surgery,IN,85,397,37086.58,22
1108299923,Urology,WV,320,836,89478.01,29
1637152602,Gastroenterology,TX,281,632,113295.26,17
1568387228,Cardiology,NJ,139,697,95045.62,40
1861818706,Nephrology,NE,248,595,31611.45,35
1284547422,Plastic Surgery,SC,335,1645,309203.19,20
1568915703,Neurosurgery,CT,112,394,43366.58,20
1524951250,Neurosurgery,MD,136,377,62909.12,19
1648127255,Nephrology,DE,371,1404,260987.33,37
1476990466,Family Medicine,TN,717,1804,118018.91,46
1311818984,Psychiatry,RI,178,829,122962.55,26
1929839316,Nephrology,NY,337,1563,256303.2,43
1831361497,Oral Surgery,OR,265,1331,191773.96,24
1572191734,Neurology,NM,326,1372,588197.51,18
1477895080,Oncology,CA,258,932,152067.48,38
1993027458,Surgery,CA,73,303,38196.23,44
1723123952,Gastroenterology,WV,121,432,74076.07,27
1445236735,Endocrinology,NM,356,899,53293.67,21
1970768982,Cardiothoracic Surgery,MI,71,267,20260.98,30
1859803019,Otolaryngology,NH,368,1409,104001.01,38
1403754671,Pathology,NE,273,1194,69078.66,25
1795038832,Obstetrics and Gynecology,CA,268,624,94696.31,33
1370578414,Family Medicine,TX,793,4101,742247.98,51
1187512088,Pulmonology,TX,172,895,86398.61,40
1238460786,Endocrinology,VA,143,440,46860.83,36
1973150512,Pediatrics,TX,369,858,129187.69,47
1488509962,Cardiology,MS,258,678,55683.39,46
1306164050,Emergency Medicine,FL,379,860,151931.26,21
1645127678,Physical Medicine,OH,369,786,79004.52,23
1741288486,Pathology,GA,183,481,74038.81,24
1968704078,Cardiothoracic Surgery,HI,162,348,36416.43,30
1576954730,Endocrinology,ME,329,927,79606.38,45
1996696177,Radiology,MS,392,2134,254483.76,14
1935504321,Pathology,NC,370,1282,95263.79,11
1960345542,Endocrinology,FL,228,497,60678.03,38
1695433590,Oral Surgery,CT,364,1812,168080.13,25
1392907427,Otolaryngology,NC,175,859,54767.29,29
1976928440,Otolaryngology,MN,113,390,42692.56,38
1353164777,Pathology,CO,291,810,79220.21,8
1867407868,Nephrology,MI,174,431,40096.75,45
1847401602,Vascular Surgery,FL,340,1213,61605.46,20
1120405269,Internal Medicine,IN,727,1834,350356.16,68
1666690337,Ophthalmology,DE,247,699,70399.24,30
1550784243,Nephrology,SC,334,741,130047.84,46
1740743666,Gastroenterology,AK,363,1456,229730.08,33
1560891752,Cardiology,SC,280,795,89425.69,20
1662087258,Anesthesiology,CA,369,1440,241865.06,21
1695016134,Cardiology,MO,340,731,78971.54,38
1372354893,Family Medicine,AK,482,2294,233346.54,76
1805560474,Nephrology,CT,397,1815,181278.19,17
1478278218,Gastroenterology,MI,189,927,141555.11,45
1778321204,Psychiatry,FL,132,594,113775.22,17
1415081566,Radiology,AZ,202,1030,100259.55,14
1653388913,Pathology,OH,342,987,160874.72,11
1407209235,Anesthesiology,WY,124,623,62168.36,8
